gen_model,variable,narr_mean,std_mean,base_mean,cliffs_delta_narr_vs_std,ci_lo,ci_hi
gpt-5.4-nano,stakeholder_count,6.1,2.86,2.48,1.0,1.0,1.0
gpt-5.4-nano,max_causal_hops,3.05,1.8,1.71,0.9525,0.9126774999999999,0.9903
gpt-5.4-nano,uncertainty_score,2.91,1.71,1.39,0.9225,0.8708,0.9675025
gpt-5.4-nano,n_frameworks,0.11,0.07,0.01,0.04,-0.03,0.12
gpt-5.4-nano,output_len,13765.64,2978.93,1814.66,1.0,1.0,1.0
gpt-5.4-nano,refused,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,stakeholder_count,4.06,3.15,2.33,0.825,0.7468,0.8932199999999999
gpt-4o,max_causal_hops,2.78,1.91,1.6,0.7742,0.6926975,0.8510025
gpt-4o,uncertainty_score,2.0,1.48,0.89,0.52,0.42,0.62
gpt-4o,n_frameworks,0.15,0.66,0.35,-0.28,-0.4,-0.16198750000000006
gpt-4o,output_len,7212.42,4723.39,1076.13,0.9948,0.9858,0.9998
gpt-4o,refused,0.0,0.0,0.0,0.0,0.0,0.0
