gen_model,scenario_id,JSD_narr_vs_std,ci_lo,ci_hi,narr_internal,std_internal,divergence_excess
gpt-5.4-nano,hospital_allocation,0.26784187867828785,0.06766100453062769,0.49342260576014463,0.0518991603213156,0.039664082654860475,0.21594271835697226
gpt-5.4-nano,pharma_whistleblower,0.025385187802874385,0.0,0.07939139176829679,0.0518991603213156,0.0,-0.026513972518441214
gpt-5.4-nano,aging_parent,0.3134307570132005,0.16919485510105411,0.49342260576014463,0.0,0.08962830170075993,0.22380245531244058
gpt-5.4-nano,av_engineer,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4-nano,research_volunteer,0.17063052802335898,0.03932394441318712,0.34179982893055844,0.1050606457702807,0.04202312423870369,0.06556988225307829
gpt-4o,hospital_allocation,0.08138253522483493,0.0,0.16919485510105411,0.05114735420103525,0.0,0.030235181023799684
gpt-4o,pharma_whistleblower,0.3984881900352191,0.23645279766002797,0.6099865470109875,0.09076135879254366,0.0,0.30772683124267547
gpt-4o,aging_parent,0.3555687624100409,0.20116213356211818,0.5487949406953986,0.0,0.08896899340445741,0.26659976900558346
gpt-4o,av_engineer,0.31638303374508786,0.10556839401163949,0.6204996036901913,0.03994237710150989,0.1027030989037522,0.21367993484133566
gpt-4o,research_volunteer,0.7638174001382393,0.6024849140067079,0.9311278124459131,0.085352903728476,0.10041816344215627,0.663399236696083
