proxy,generator,rho,p,ci_lo,ci_hi,n
kc_graph_score,POOLED,0.4176,0.0,0.3645,0.4718,976
kc_graph_score,claude-haiku-4-5,0.7796,0.0,0.7233,0.8212,192
kc_graph_score,claude-sonnet-4-6,0.7586,0.0,0.6954,0.8105,192
kc_graph_score,gpt-4o,-0.0381,0.592101,-0.1781,0.0991,200
kc_graph_score,gpt-5.4-nano,0.1309,0.064715,-0.0113,0.2778,200
kc_graph_score,grok-4-1-fast-reasoning,0.6284,0.0,0.5324,0.71,192
kc_graph_mdl,POOLED,-0.321,0.0,-0.3819,-0.2602,976
kc_graph_mdl,claude-haiku-4-5,-0.2528,0.000404,-0.3905,-0.1225,192
kc_graph_mdl,claude-sonnet-4-6,-0.4873,0.0,-0.6005,-0.3679,192
kc_graph_mdl,gpt-4o,-0.5556,0.0,-0.6454,-0.4542,200
kc_graph_mdl,gpt-5.4-nano,-0.7813,0.0,-0.822,-0.724,200
kc_graph_mdl,grok-4-1-fast-reasoning,0.3749,0.0,0.2433,0.4944,192
kc_struct_entropy,POOLED,0.2659,0.0,0.2061,0.3257,976
kc_struct_entropy,claude-haiku-4-5,0.4292,0.0,0.2957,0.5435,192
kc_struct_entropy,claude-sonnet-4-6,0.4945,0.0,0.3766,0.6051,192
kc_struct_entropy,gpt-4o,-0.0586,0.410105,-0.1993,0.0839,200
kc_struct_entropy,gpt-5.4-nano,-0.0811,0.253748,-0.2166,0.0652,200
kc_struct_entropy,grok-4-1-fast-reasoning,0.6414,0.0,0.5413,0.7246,192
kc_gzip_score,POOLED,0.8422,0.0,0.829,0.8514,976
kc_gzip_score,claude-haiku-4-5,0.8661,0.0,0.8555,0.8661,192
kc_gzip_score,claude-sonnet-4-6,0.866,0.0,0.854,0.8661,192
kc_gzip_score,gpt-4o,0.8652,0.0,0.8539,0.866,200
kc_gzip_score,gpt-5.4-nano,0.866,0.0,0.8535,0.8661,200
kc_gzip_score,grok-4-1-fast-reasoning,0.6501,0.0,0.5528,0.7345,192
