model,condition,raw_bytes,gzip_ratio,lzma_ratio,zstd22_ratio,brotli_ratio,trigram_entropy,pentgram_entropy,mattr_w200,log_len,contrast
claude-haiku-4-5,standard_cot,1336,0.5561377245508982,0.6287425149700598,0.5598802395209581,0.3929640718562874,9.142789441217177,9.929647353262844,0.6967857142857142,7.197435354096591,-1.0
gpt-5.4-nano,narrative_cot,16619,0.39767735724171127,0.38750827366267526,0.3811902039833925,0.31800950719056503,10.335929574977287,12.475131252842045,0.7400847826086957,9.718301898127523,1.0
gpt-5.4-nano,standard_cot,2868,0.50139470013947,0.5369595536959554,0.49860529986053,0.3716875871687587,9.741985143396246,10.850283384974567,0.7847290640394089,7.961370201719511,-1.0
gpt-5.4-nano,narrative_cot,16480,0.41565533980582525,0.40315533980582524,0.4000606796116505,0.3361043689320388,10.421122208848704,12.604714092286237,0.7457592592592592,9.709902803463462,1.0
gpt-5.4-nano,narrative_cot,11179,0.4284819751319438,0.4240093031577064,0.4147061454512926,0.34645317112442975,10.298791101892517,12.252836450746909,0.7412523779327838,9.321792297270326,1.0
claude-sonnet-4-6,standard_cot,1604,0.5529925187032418,0.628428927680798,0.5492518703241895,0.39713216957605985,9.476265252762888,10.343240363842142,0.761060606060606,7.38025578842646,-1.0
gpt-5.4-nano,narrative_cot,13299,0.42236258365290624,0.4141664786826077,0.40792540792540793,0.34814647717873526,10.38455711771556,12.444740984850812,0.7520020376974018,9.495444123413163,1.0
claude-sonnet-4-6,standard_cot,1526,0.5288335517693316,0.6028833551769331,0.5288335517693316,0.38794233289646135,9.285930136311535,10.132521574661736,0.7474999999999999,7.330405211844402,-1.0
gpt-5.4-nano,standard_cot,3303,0.5104450499545867,0.540115046927036,0.5049954586739328,0.3869209809264305,9.958562926741346,11.132947985245837,0.8102280701754386,8.10258642539079,-1.0
gpt-5.4-nano,standard_cot,3289,0.49315901489814534,0.5253876558224384,0.4916387959866221,0.39282456673761024,9.792530821022266,10.99716738030394,0.7423961661341854,8.098338846189057,-1.0
claude-haiku-4-5,narrative_cot,7365,0.4613713509843856,0.4638153428377461,0.45078071961982347,0.36361167684996604,10.281139239090605,11.956875589723468,0.7650161463939721,8.90449432889673,1.0
gpt-5.4-nano,standard_cot,1934,0.53205791106515,0.5873836608066184,0.5346432264736298,0.41623578076525336,9.47146652815322,10.439120305856001,0.7205504587155963,7.56734567601324,-1.0
gpt-5.4-nano,standard_cot,3152,0.4980964467005076,0.5266497461928934,0.49206852791878175,0.3819796954314721,9.811551445127073,10.965543681417744,0.755375939849624,8.05579245097777,-1.0
gpt-5.4-nano,narrative_cot,10736,0.4273472429210134,0.42511177347242923,0.4147727272727273,0.3488263785394933,10.333165602462818,12.283591518246723,0.7487866242038217,9.281357859211463,1.0
grok-4-1-fast-reasoning,narrative_cot,4571,0.48370159702472104,0.49792168015751476,0.47516954714504483,0.3819733099978123,10.097641338489355,11.47961467763917,0.7771938775510205,8.427487278331744,1.0
gpt-5.4-nano,standard_cot,3591,0.49679754942912835,0.5235310498468393,0.492620439988861,0.37593984962406013,9.92202567106762,11.170885361868352,0.7486571428571428,8.186185994226083,-1.0
gpt-5.4-nano,narrative_cot,12932,0.41091865140736156,0.4039591710485617,0.39769563872564184,0.3286421280544386,10.300420276055721,12.318265041472122,0.7522729868646488,9.467460138845324,1.0
gpt-5.4-nano,narrative_cot,10470,0.43170964660936006,0.4294173829990449,0.4191977077363897,0.34680038204393504,10.273015530007159,12.229232313789558,0.7422252191503709,9.256269303864583,1.0
gpt-5.4-nano,narrative_cot,11516,0.4223688780826676,0.4178534213268496,0.40925668634942686,0.3389197638068774,10.352094295098244,12.252883842205758,0.7571722609246359,9.351492651732066,1.0
gpt-5.4-nano,narrative_cot,11420,0.40901926444833625,0.4042031523642732,0.39632224168126096,0.32802101576182136,10.235973039040287,12.1005251290559,0.7263842710997442,9.343121483210002,1.0
claude-sonnet-4-6,narrative_cot,9542,0.42611611821421086,0.424229721232446,0.41259693984489626,0.3413330538671138,10.16638671999125,12.074997483983859,0.7110390097524381,9.163458386076051,1.0
gpt-5.4-nano,standard_cot,1633,0.5352112676056338,0.6001224739742804,0.5370483772198408,0.4060012247397428,9.272292730893561,10.195677348533398,0.7493650793650796,7.398174092970465,-1.0
