metric,scope,n_pairs,agree_same,agree_diff,disagree_same,disagree_diff,p_diff_given_agree,p_diff_given_disagree,D,mean_iou_agree,mean_iou_disagree
framing,iou_0,2151,817,595,164,575,0.4213881019830028,0.7780784844384303,0.3566903824554275,0.43957227968962764,0.1739069452414937
framing,iou_0.25,2151,778,634,162,577,0.4490084985835694,0.7807848443843031,0.3317763458007337,0.43957227968962764,0.1739069452414937
framing,iou_0.5,2151,636,776,129,610,0.5495750708215298,0.8254397834912043,0.2758647126696745,0.43957227968962764,0.1739069452414937
framing,condition:free,2151,636,776,129,610,0.5495750708215298,0.8254397834912043,0.2758647126696745,0.43957227968962764,0.1739069452414937
framing,condition:pin_placebo,304,181,4,119,0,0.021621621621621623,0.0,-0.021621621621621623,0.9500638802249912,0.9326164124907523
framing,condition:pin_real,322,219,5,91,7,0.022321428571428572,0.07142857142857142,0.04910714285714285,0.9288309717897162,0.9126999912540157
indirectness,iou_0,2202,860,610,269,463,0.41496598639455784,0.6325136612021858,0.21754767480762793,0.445197657839911,0.2608417599130112
indirectness,iou_0.25,2202,792,678,239,493,0.46122448979591835,0.6734972677595629,0.21227277796364452,0.445197657839911,0.2608417599130112
indirectness,iou_0.5,2202,660,810,188,544,0.5510204081632653,0.7431693989071039,0.19214899074383862,0.445197657839911,0.2608417599130112
indirectness,condition:free,2202,660,810,188,544,0.5510204081632653,0.7431693989071039,0.19214899074383862,0.445197657839911,0.2608417599130112
indirectness,condition:pin_placebo,298,208,6,82,2,0.028037383177570093,0.023809523809523808,-0.004227859368046285,0.9340834546621275,0.929938708345925
indirectness,condition:pin_real,320,227,15,74,4,0.06198347107438017,0.05128205128205128,-0.010701419792328887,0.9117492110158988,0.9044742279119339
validation,iou_0,2184,1038,558,201,387,0.34962406015037595,0.6581632653061225,0.3085392051557465,0.4942313223917228,0.23554970749279378
validation,iou_0.25,2184,985,611,185,403,0.38283208020050125,0.685374149659864,0.30254206945936274,0.4942313223917228,0.23554970749279378
validation,iou_0.5,2184,807,789,148,440,0.4943609022556391,0.7482993197278912,0.2539384174722521,0.4942313223917228,0.23554970749279378
validation,condition:free,2184,807,789,148,440,0.4943609022556391,0.7482993197278912,0.2539384174722521,0.4942313223917228,0.23554970749279378
validation,condition:pin_placebo,308,265,5,37,1,0.018518518518518517,0.02631578947368421,0.007797270955165692,0.9688652062569933,0.9326329067679782
validation,condition:pin_real,320,264,3,51,2,0.011235955056179775,0.03773584905660377,0.026499894000423997,0.942711491750346,0.9251477092187215
