generator,variable,delta_narr_vs_std,ci_lo,ci_hi,resid_delta,resid_ci_lo,resid_ci_hi,n_narr,n_std
claude-haiku-4-5,stakeholder_count,0.9254,0.9155,0.9352,0.0684,0.0276,0.1025,1996,1999
claude-haiku-4-5,max_causal_hops,0.9013,0.8924,0.9096,0.0159,-0.0222,0.0523,1996,1999
claude-haiku-4-5,uncertainty_score,0.7309,0.7093,0.7523,-0.0333,-0.0724,0.0033,1996,1999
claude-haiku-4-5,n_frameworks,0.0313,0.0191,0.0427,-0.8915,-0.9111,-0.8712,1996,1999
claude-sonnet-4-6,stakeholder_count,0.9054,0.882,0.9257,-0.0442,-0.1214,0.0295,500,500
claude-sonnet-4-6,max_causal_hops,0.5885,0.5512,0.6281,0.1769,0.1024,0.2562,500,500
claude-sonnet-4-6,uncertainty_score,0.6928,0.6495,0.7369,-0.0081,-0.0832,0.0675,500,500
claude-sonnet-4-6,n_frameworks,0.0644,0.0364,0.0936,-0.8337,-0.8812,-0.7816,500,500
deepseek-v3,stakeholder_count,0.6263,0.5739,0.6746,0.359,0.2833,0.4222,500,500
deepseek-v3,max_causal_hops,0.3094,0.2695,0.3493,-0.3709,-0.4517,-0.2918,500,500
deepseek-v3,uncertainty_score,0.7523,0.7173,0.7863,0.4902,0.429,0.5475,500,500
deepseek-v3,n_frameworks,-0.0241,-0.0432,-0.0061,-0.9711,-0.9866,-0.9546,500,500
gpt-5.4-nano,stakeholder_count,0.9922,0.9899,0.9945,0.5025,0.4746,0.5332,1985,1989
gpt-5.4-nano,max_causal_hops,0.5671,0.5401,0.5947,0.1772,0.1342,0.2179,1985,1989
gpt-5.4-nano,uncertainty_score,0.991,0.986,0.9947,0.7605,0.7367,0.7836,1985,1989
gpt-5.4-nano,n_frameworks,0.0142,0.0023,0.0251,-0.9214,-0.9379,-0.9048,2000,2000
grok-4-1-fast-reasoning,stakeholder_count,0.4848,0.4289,0.5415,0.3268,0.257,0.3872,515,515
grok-4-1-fast-reasoning,max_causal_hops,0.0761,0.0436,0.1128,-0.619,-0.6765,-0.5614,515,515
grok-4-1-fast-reasoning,uncertainty_score,0.6293,0.5886,0.6686,0.4261,0.367,0.483,515,515
grok-4-1-fast-reasoning,n_frameworks,-0.1202,-0.1545,-0.0891,-0.7999,-0.8428,-0.761,515,515
